기간	자치구	교통안전지수
2014	영등포구	70.2
2014	동작구	78
2014	관악구	77.5
2014	서초구	82.3
2014	강남구	74.1
2014	송파구	79.6
2014	강동구	81.2
2015	서울시	79.7
2015	종로구	71.3
2015	중구	61
2015	용산구	76.3
2015	성동구	85.8
2015	광진구	82.1
2015	동대문구	76.7
2015	중랑구	82.8
2015	성북구	83.9
2015	강북구	76.4
2015	도봉구	81.4
2015	노원구	85.9
2015	은평구	81.1
2015	서대문구	81.4
2015	마포구	80.2
2015	양천구	86.3
2015	강서구	84.5
2015	구로구	77.5
2015	금천구	78.4
2015	영등포구	74
2015	동작구	89.2
2015	관악구	80.4
2015	서초구	78.6
2015	강남구	79
2015	송파구	80.3
2015	강동구	78.2
2016	종로구	76.86
2016	중구	68.54
2016	용산구	79.07
2016	성동구	80.38
2016	광진구	82.36
2016	동대문구	74.28
2016	중랑구	78.28
2016	성북구	81.03
2016	강북구	78.6
2016	도봉구	80.51
2016	노원구	78.71
2016	은평구	80.27
2016	서대문구	80.18
2016	마포구	76.16
2016	양천구	80.83
2016	강서구	80.73
2016	구로구	79.4
2016	금천구	81.35
2016	영등포구	71.22
2016	동작구	76.91
2016	관악구	74
2016	서초구	76.83
2016	강남구	68.32
2016	송파구	75.01
2016	강동구	79.37
2017	종로구	75.08
2017	중구	73.85
2017	용산구	77.25
2017	성동구	80.95
2017	광진구	81.73
2017	동대문구	73.73
2017	중랑구	78.72
2017	성북구	80.85
2017	강북구	78.14
2017	도봉구	81.21
2017	노원구	80.53
2017	은평구	80.78
2017	서대문구	81.34
2017	마포구	79.06
2017	양천구	80.91
2017	강서구	78.94
2017	구로구	78.87
2017	금천구	81.56
2017	영등포구	70.24
2017	동작구	76.74
2017	관악구	81.35
2017	서초구	76.88
2017	강남구	68.37
2017	송파구	71.42
2017	강동구	74.34
2018	서울시	77.46
2018	종로구	77.67
2018	중구	71.06
2018	용산구	77.69
2018	성동구	81.56
2018	광진구	80.78
2018	동대문구	75.01
2018	중랑구	77.85
2018	성북구	79.99
2018	강북구	76.13
2018	도봉구	81.29
2018	노원구	78.83
2018	은평구	80.26
2018	서대문구	81.55
2018	마포구	79.32
2018	양천구	81.82
2018	강서구	79.63
2018	구로구	76.62
2018	금천구	81.91
2018	영등포구	66.96
2018	동작구	77.5
2018	관악구	79.78
2018	서초구	75.08
2018	강남구	68.54
2018	송파구	70.32
2018	강동구	79.29
2019	서울시	78.23
2019	종로구	79.77
2019	중구	75.09
2019	용산구	79.64
2019	성동구	79.6
2019	광진구	83.22
2019	동대문구	74.03
2019	중랑구	77.13
2019	성북구	81.42
2019	강북구	78.66
2019	도봉구	81.71
2019	노원구	78.94
2019	은평구	81.21
2019	서대문구	78.58
2019	마포구	81.59
2019	양천구	79.44
2019	강서구	75.36
2019	구로구	76.28
2019	금천구	79.99
2019	영등포구	73.98
2019	동작구	79.56
2019	관악구	80.75
2019	서초구	77.35
2019	강남구	71.33
2019	송파구	73.37
2019	강동구	77.77
